Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
214,Jett Howard,ORL,5529720,7337939,,,,,"$5,529,720",Jett Howard,ORL,5529720,Role Player,5.52972,True,True,12867659.0
215,Matas Buzelis,CHI,5455560,5715360,,,,,"$5,455,560",Matas Buzelis,CHI,5455560,Role Player,5.45556,True,True,11170920.0
216,Noa Essengue,CHI,5429520,5701200,,,,,"$11,130,720",Noa Essengue,CHI,5429520,Role Player,5.42952,True,True,11130720.0
218,Kris Dunn,LAC,5426400,5684800,,,,,"$5,426,400",Kris Dunn,LAC,5426400,Role Player,5.4264,True,True,11111200.0
220,Dereck Lively II,DAL,5253360,7239131,,,,,"$5,253,360",Dereck Lively II,DAL,5253360,Role Player,5.25336,True,True,12492491.0
221,Nikola Topić,OKC,5182920,5429760,,,,,"$5,182,920",Nikola Topić,OKC,5182920,Role Player,5.18292,True,True,10612680.0
222,Derik Queen,NOP,5157960,5416080,,,,,"$10,574,040",Derik Queen,NOR,5157960,Role Player,5.15796,True,True,10574040.0
226,Gradey Dick,TOR,4990560,7131511,,,,,"$4,990,560",Gradey Dick,TOR,4990560,Rookie/Min,4.99056,True,True,12122071.0
228,Devin Carter,SAC,4923720,5158080,,,,,"$4,923,720",Devin Carter,SAC,4923720,Rookie/Min,4.92372,True,True,10081800.0
230,Carter Bryant,SAS,4900320,5145360,,,,,"$10,045,680",Carter Bryant,SAS,4900320,Rookie/Min,4.90032,True,True,10045680.0
232,Jordan Hawkins,NOP,4741320,7021895,,,,,"$4,741,320",Jordan Hawkins,NOR,4741320,Rookie/Min,4.74132,True,True,11763215.0
234,Bub Carrington,WAS,4677600,4900560,,,,,"$4,677,600",Bub Carrington,WAS,4677600,Rookie/Min,4.6776,True,True,9578160.0
235,Thomas Sorber,OKC,4655040,4887720,,,,,"$9,542,760",Thomas Sorber,OKC,4655040,Rookie/Min,4.65504,True,True,9542760.0
236,Kobe Bufkin,ATL,4503720,6904203,,,,,"$4,503,720",Kobe Bufkin,ATL,4503720,Rookie/Min,4.50372,True,True,11407923.0
237,Jose Alvarado,NOP,4500000,4500000,,,,,"$4,500,000",Jose Alvarado,NOR,4500000,Rookie/Min,4.5,True,True,9000000.0
239,Kel'el Ware,MIA,4443360,4654920,,,,,"$4,443,360",Kel'el Ware,MIA,4443360,Rookie/Min,4.44336,True,True,9098280.0
240,Yang Hansen,POR,4422360,4643520,,,,,"$9,065,880",Yang Hansen,POR,4422360,Rookie/Min,4.42236,True,True,9065880.0
